Change_Order_ID,Project_ID,Change_Title,Change_Category,Responsible_Party,Submitted_Date,Approved_Date,Submitted_Value,Approved_Value,Schedule_Impact_Days,Change_Status,Discipline
CO-00393,PRJ-056,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-01-15,2024-03-11,470100,352900,23,Approved,Fire Protection
CO-00391,PRJ-056,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2024-05-16,2024-08-05,18300,13400,22,Approved,Architectural
CO-00392,PRJ-056,Scope Clarification - Plumbing package,Scope Clarification,Owner,2024-06-01,2024-07-06,101200,79400,0,Approved,Plumbing
CO-00398,PRJ-056,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2024-06-26,2024-07-22,48000,37700,0,Approved,Electrical
CO-00401,PRJ-057,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-03-20,2024-05-09,696100,641900,3,Approved,Architectural
CO-00402,PRJ-057,Contractor-Requested Change - Fire Protection package,Contractor-Requested Change,Contractor,2024-10-17,2024-11-25,56800,42800,0,Approved,Fire Protection
CO-00403,PRJ-057,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2024-12-12,2025-02-21,127500,102300,23,Approved,Architectural
CO-00400,PRJ-057,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2025-03-05,,156100,,2,Pending,Architectural
CO-00405,PRJ-057,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-07-24,2025-09-03,382200,386700,5,Approved,Fire Protection
CO-00404,PRJ-057,Scope Clarification - Electrical package,Scope Clarification,Owner,2025-11-22,2025-12-22,58100,43400,0,Approved,Electrical
CO-00399,PRJ-057,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2025-12-09,,168900,,10,Pending,Mechanical
CO-00410,PRJ-058,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2023-04-20,,515800,,6,Pending,Civil
CO-00407,PRJ-058,Design Error or Omission - Structural package,Design Error or Omission,Designer,2023-05-24,2023-06-13,18600,17400,8,Approved,Structural
CO-00408,PRJ-058,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-11-07,2025-01-05,180000,162400,4,Approved,Electrical
CO-00411,PRJ-058,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2025-03-04,2025-05-01,442900,327900,9,Approved,Civil
CO-00412,PRJ-058,Scope Clarification - Architectural package,Scope Clarification,Owner,2025-04-18,,89400,,2,Pending,Architectural
CO-00409,PRJ-058,Unforeseen Condition - Structural package,Unforeseen Condition,External,2025-04-27,2025-05-14,345900,332600,7,Approved,Structural
CO-00406,PRJ-058,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2025-10-02,2025-11-05,228200,173800,0,Approved,Civil
CO-00418,PRJ-059,Code or Regulatory Requirement - Mechanical package,Code or Regulatory Requirement,External,2024-11-02,,74500,,13,Withdrawn,Mechanical
CO-00415,PRJ-059,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-02-16,2025-03-23,439500,394600,12,Approved,Electrical
CO-00413,PRJ-059,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2025-07-26,,59900,,7,Pending,Electrical
CO-00414,PRJ-059,Code or Regulatory Requirement - Plumbing package,Code or Regulatory Requirement,External,2025-08-11,2025-09-13,63500,55500,7,Approved,Plumbing
CO-00416,PRJ-059,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2025-08-28,,439200,,8,Withdrawn,Mechanical
CO-00417,PRJ-059,Code or Regulatory Requirement - Electrical package,Code or Regulatory Requirement,External,2025-11-08,,137500,,2,Pending,Electrical
CO-00426,PRJ-060,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2023-04-17,,99200,,9,Rejected,Mechanical
CO-00419,PRJ-060,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2023-06-18,,15500,,11,Pending,Mechanical
CO-00423,PRJ-060,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-02-22,2024-03-25,408800,320900,5,Approved,Fire Protection
CO-00421,PRJ-060,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-04-11,,160500,,11,Rejected,Structural
CO-00420,PRJ-060,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2024-05-10,2024-07-09,92000,92000,1,Approved,Mechanical
CO-00422,PRJ-060,Weather Impact - Fire Protection package,Weather Impact,External,2024-06-04,2024-07-21,23700,20900,16,Approved,Fire Protection
CO-00424,PRJ-060,Utility Conflict - Civil package,Utility Conflict,External,2024-07-23,2024-09-11,69700,51300,10,Approved,Civil
CO-00427,PRJ-060,Unforeseen Condition - Civil package,Unforeseen Condition,External,2024-08-08,2024-09-24,38200,34700,16,Approved,Civil
CO-00425,PRJ-060,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2024-08-24,,112800,,12,Rejected,Electrical
CO-00428,PRJ-061,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2023-06-24,2023-08-19,444200,426300,7,Approved,Mechanical
CO-00437,PRJ-061,Utility Conflict - Electrical package,Utility Conflict,External,2023-09-02,2023-11-16,86100,80300,17,Approved,Electrical
CO-00431,PRJ-061,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2023-10-07,2023-11-14,119300,90400,10,Approved,Plumbing
CO-00433,PRJ-061,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-10-25,2023-11-24,495900,487500,19,Approved,Civil
CO-00436,PRJ-061,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2024-01-21,2024-02-08,329300,242500,0,Approved,Electrical
CO-00429,PRJ-061,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-02-03,,94100,,13,Pending,Civil
CO-00435,PRJ-061,Utility Conflict - Electrical package,Utility Conflict,External,2024-03-03,2024-05-10,820900,604500,14,Approved,Electrical
CO-00432,PRJ-061,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-05-19,,48100,,7,Pending,Electrical
CO-00430,PRJ-061,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-08-27,2024-10-10,424800,381700,8,Approved,Mechanical
CO-00434,PRJ-061,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2024-09-29,2024-12-06,278000,281400,10,Approved,Civil
CO-00445,PRJ-062,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2024-09-13,2024-11-26,385700,330500,5,Approved,Fire Protection
CO-00448,PRJ-062,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2024-09-22,,101900,,0,Pending,Civil
CO-00440,PRJ-062,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-12-23,2025-03-19,248500,215700,12,Approved,Fire Protection
CO-00444,PRJ-062,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2025-01-22,,537200,,10,Withdrawn,Fire Protection
CO-00439,PRJ-062,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2025-03-30,2025-05-15,265000,223800,9,Approved,Electrical
CO-00443,PRJ-062,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2025-04-17,,949000,,19,Pending,Plumbing
CO-00442,PRJ-062,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2025-04-24,,320800,,14,Withdrawn,Fire Protection
CO-00438,PRJ-062,Scope Clarification - Structural package,Scope Clarification,Owner,2025-05-05,,62300,,1,Rejected,Structural
CO-00447,PRJ-062,Scope Clarification - Structural package,Scope Clarification,Owner,2025-06-26,2025-08-23,167400,152100,8,Approved,Structural
CO-00446,PRJ-062,Material Substitution - Mechanical package,Material Substitution,Contractor,2025-09-25,,551600,,15,Pending,Mechanical
CO-00441,PRJ-062,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-12-01,2026-01-11,245600,218500,0,Approved,Electrical
CO-00449,PRJ-063,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2024-07-14,2024-10-15,661500,651600,0,Approved,Civil
CO-00455,PRJ-063,Material Substitution - Plumbing package,Material Substitution,Contractor,2024-08-03,2024-10-16,139900,137500,1,Approved,Plumbing
CO-00454,PRJ-063,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2024-08-10,2024-09-24,3420600,3168600,13,Approved,Mechanical
CO-00451,PRJ-063,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-11-18,,377800,,9,Pending,Architectural
CO-00457,PRJ-063,Weather Impact - Civil package,Weather Impact,External,2024-11-19,2024-12-28,632400,469600,7,Approved,Civil
CO-00453,PRJ-063,Scope Clarification - Architectural package,Scope Clarification,Owner,2025-05-07,2025-08-02,1329500,1251600,1,Approved,Architectural
CO-00452,PRJ-063,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2025-06-01,2025-07-11,4342600,3822100,12,Approved,Electrical
CO-00450,PRJ-063,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2025-06-21,2025-07-20,453000,465000,3,Approved,Architectural
CO-00456,PRJ-063,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2025-12-20,2026-01-14,1227900,1226000,19,Approved,Fire Protection
CO-00464,PRJ-064,Design Error or Omission - Civil package,Design Error or Omission,Designer,2022-08-19,,36800,,16,Pending,Civil
CO-00459,PRJ-064,Scope Clarification - Architectural package,Scope Clarification,Owner,2022-12-06,,37500,,5,Pending,Architectural
CO-00462,PRJ-064,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2023-04-24,2023-06-29,95500,82700,12,Approved,Electrical
CO-00463,PRJ-064,Unforeseen Condition - Civil package,Unforeseen Condition,External,2023-07-24,2023-10-01,24500,25200,21,Approved,Civil
CO-00458,PRJ-064,Weather Impact - Architectural package,Weather Impact,External,2023-08-29,,12500,,7,Rejected,Architectural
CO-00460,PRJ-064,Utility Conflict - Civil package,Utility Conflict,External,2023-11-12,,74000,,15,Rejected,Civil
CO-00461,PRJ-064,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-01-24,2024-03-03,23100,22500,14,Approved,Structural
CO-00466,PRJ-064,Material Substitution - Civil package,Material Substitution,Contractor,2024-02-08,,22400,,11,Rejected,Civil
CO-00465,PRJ-064,Material Substitution - Civil package,Material Substitution,Contractor,2024-02-18,2024-04-06,65300,58300,8,Approved,Civil
CO-00467,PRJ-064,Unforeseen Condition - Civil package,Unforeseen Condition,External,2024-06-17,2024-08-22,63000,48600,16,Approved,Civil
CO-00473,PRJ-065,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2022-06-20,2022-06-27,347100,322000,8,Approved,Fire Protection
CO-00470,PRJ-065,Utility Conflict - Fire Protection package,Utility Conflict,External,2022-06-30,2022-08-15,530700,450600,16,Approved,Fire Protection
CO-00472,PRJ-065,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2022-11-08,2022-12-20,998100,783800,12,Approved,Fire Protection
CO-00469,PRJ-065,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2022-12-23,,120000,,5,Pending,Mechanical
CO-00474,PRJ-065,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2022-12-26,,146500,,0,Rejected,Structural
CO-00471,PRJ-065,Scope Clarification - Structural package,Scope Clarification,Owner,2023-02-25,2023-04-05,131600,109100,9,Approved,Structural
CO-00476,PRJ-065,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2023-06-22,2023-07-05,236200,192400,7,Approved,Structural
CO-00468,PRJ-065,Scope Clarification - Architectural package,Scope Clarification,Owner,2023-09-11,2023-10-18,142900,134000,1,Approved,Architectural
CO-00475,PRJ-065,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2024-05-30,2024-08-09,712300,540800,4,Approved,Plumbing
CO-00480,PRJ-066,Scope Clarification - Civil package,Scope Clarification,Owner,2024-03-04,2024-04-08,77200,77900,0,Approved,Civil
CO-00481,PRJ-066,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-05-14,,32400,,12,Pending,Mechanical
CO-00479,PRJ-066,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-07-02,,348900,,12,Withdrawn,Civil
CO-00482,PRJ-066,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2025-02-24,2025-04-12,293300,245100,2,Approved,Plumbing
CO-00478,PRJ-066,Unforeseen Condition - Structural package,Unforeseen Condition,External,2025-05-06,,154900,,10,Pending,Structural
CO-00477,PRJ-066,Material Substitution - Plumbing package,Material Substitution,Contractor,2025-12-19,,70700,,5,Rejected,Plumbing
CO-00484,PRJ-067,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-07-05,2024-08-30,249000,245900,16,Approved,Fire Protection
CO-00488,PRJ-067,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-12-02,,132000,,16,Pending,Fire Protection
CO-00487,PRJ-067,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2025-04-03,,124000,,5,Withdrawn,Civil
CO-00485,PRJ-067,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-06-06,2025-08-19,755500,692100,19,Approved,Fire Protection
CO-00483,PRJ-067,Coordination Issue - Structural package,Coordination Issue,Contractor,2025-06-13,2025-08-11,99800,100300,7,Approved,Structural
CO-00489,PRJ-067,Weather Impact - Electrical package,Weather Impact,External,2025-06-17,2025-08-30,32600,30800,10,Approved,Electrical
CO-00486,PRJ-067,Utility Conflict - Electrical package,Utility Conflict,External,2025-10-22,,345300,,21,Pending,Electrical
CO-00493,PRJ-068,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2022-10-12,2022-12-08,367600,315400,6,Approved,Civil
CO-00497,PRJ-068,Code or Regulatory Requirement - Architectural package,Code or Regulatory Requirement,External,2023-04-07,2023-05-03,1111200,1083000,1,Approved,Architectural
CO-00499,PRJ-068,Coordination Issue - Civil package,Coordination Issue,Contractor,2023-05-16,2023-06-24,37100,26800,16,Approved,Civil
CO-00491,PRJ-068,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-06-02,2023-07-01,217900,182300,7,Approved,Electrical
CO-00492,PRJ-068,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2023-06-03,,79800,,7,Pending,Mechanical
CO-00494,PRJ-068,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-10-27,,398700,,23,Pending,Civil
CO-00498,PRJ-068,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2024-01-15,2024-03-12,98000,99600,12,Approved,Fire Protection
CO-00490,PRJ-068,Coordination Issue - Architectural package,Coordination Issue,Contractor,2024-09-19,2024-11-03,106400,87600,0,Approved,Architectural
CO-00496,PRJ-068,Material Substitution - Architectural package,Material Substitution,Contractor,2024-12-31,2025-02-16,464500,369300,7,Approved,Architectural
CO-00508,PRJ-069,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-11-06,,1285600,,1,Rejected,Electrical
CO-00502,PRJ-069,Material Substitution - Fire Protection package,Material Substitution,Contractor,2024-12-06,2024-12-21,603500,489400,9,Approved,Fire Protection
CO-00509,PRJ-069,Code or Regulatory Requirement - Electrical package,Code or Regulatory Requirement,External,2024-12-11,2025-01-16,492500,435800,7,Approved,Electrical
CO-00500,PRJ-069,Scope Clarification - Mechanical package,Scope Clarification,Owner,2025-04-20,2025-06-21,263200,264500,6,Approved,Mechanical
CO-00505,PRJ-069,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2025-05-05,2025-07-18,1079400,1029200,6,Approved,Fire Protection
CO-00506,PRJ-069,Contractor-Requested Change - Mechanical package,Contractor-Requested Change,Contractor,2025-05-09,2025-08-03,274800,230100,6,Approved,Mechanical
CO-00501,PRJ-069,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2025-06-22,,510500,,27,Rejected,Mechanical
CO-00510,PRJ-069,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-06-24,2025-08-11,874600,697000,17,Approved,Fire Protection
CO-00504,PRJ-069,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2025-08-11,2025-09-21,193100,167500,14,Approved,Electrical
CO-00503,PRJ-069,Code or Regulatory Requirement - Plumbing package,Code or Regulatory Requirement,External,2025-09-15,2025-11-21,2233200,2091200,0,Approved,Plumbing
CO-00511,PRJ-069,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-10-18,2026-01-02,843800,770900,5,Approved,Electrical
CO-00507,PRJ-069,Material Substitution - Plumbing package,Material Substitution,Contractor,2025-11-13,2026-01-03,235000,182300,0,Approved,Plumbing
CO-00513,PRJ-070,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2024-01-28,2024-03-10,596500,604600,8,Approved,Fire Protection
CO-00516,PRJ-070,Material Substitution - Structural package,Material Substitution,Contractor,2024-06-10,,480500,,9,Withdrawn,Structural
CO-00518,PRJ-070,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-09-06,,897300,,8,Pending,Mechanical
CO-00514,PRJ-070,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-10-05,2024-11-22,1306100,1342500,3,Approved,Civil
CO-00515,PRJ-070,Scope Clarification - Fire Protection package,Scope Clarification,Owner,2024-12-05,,483500,,1,Rejected,Fire Protection
CO-00512,PRJ-070,Scope Clarification - Civil package,Scope Clarification,Owner,2025-03-04,,732000,,0,Pending,Civil
CO-00517,PRJ-070,Material Substitution - Mechanical package,Material Substitution,Contractor,2025-05-08,2025-07-08,124500,124900,2,Approved,Mechanical
CO-00520,PRJ-071,Weather Impact - Electrical package,Weather Impact,External,2024-05-21,2024-06-21,225700,231400,12,Approved,Electrical
CO-00522,PRJ-071,Coordination Issue - Structural package,Coordination Issue,Contractor,2024-12-24,2025-02-11,567600,458000,5,Approved,Structural
CO-00523,PRJ-071,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-05-24,2025-05-30,585400,575300,4,Approved,Electrical
CO-00521,PRJ-071,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2025-06-24,2025-08-27,1804400,1762200,14,Approved,Fire Protection
CO-00519,PRJ-071,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2025-08-20,2025-10-05,1094400,844000,1,Approved,Mechanical
CO-00524,PRJ-071,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2025-08-30,2025-10-04,258500,249400,3,Approved,Structural
CO-00525,PRJ-071,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2025-10-20,2025-11-13,360700,338100,12,Approved,Structural
CO-00533,PRJ-072,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2022-10-06,2022-11-26,198900,154400,7,Approved,Electrical
CO-00526,PRJ-072,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2022-12-06,,648800,,10,Rejected,Architectural
CO-00529,PRJ-072,Material Substitution - Structural package,Material Substitution,Contractor,2022-12-15,,415200,,6,Rejected,Structural
CO-00528,PRJ-072,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2023-05-20,2023-07-04,143700,113200,14,Approved,Fire Protection
CO-00527,PRJ-072,Contractor-Requested Change - Fire Protection package,Contractor-Requested Change,Contractor,2023-06-01,2023-06-08,161400,151700,0,Approved,Fire Protection
CO-00531,PRJ-072,Coordination Issue - Electrical package,Coordination Issue,Contractor,2023-08-07,,125300,,4,Pending,Electrical
CO-00534,PRJ-072,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2023-10-05,2023-10-15,215600,193700,3,Approved,Plumbing
CO-00530,PRJ-072,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2024-03-01,,181500,,0,Pending,Plumbing
CO-00535,PRJ-072,Scope Clarification - Plumbing package,Scope Clarification,Owner,2024-09-14,2024-10-12,407300,295900,7,Approved,Plumbing
CO-00532,PRJ-072,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-10-06,,338500,,9,Rejected,Fire Protection
CO-00538,PRJ-073,Coordination Issue - Architectural package,Coordination Issue,Contractor,2024-01-24,2024-04-05,234800,218400,8,Approved,Architectural
CO-00536,PRJ-073,Unforeseen Condition - Structural package,Unforeseen Condition,External,2024-07-28,2024-08-27,360400,294000,18,Approved,Structural
CO-00537,PRJ-073,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2024-10-21,2024-12-18,292300,286200,8,Approved,Electrical
CO-00543,PRJ-074,Material Substitution - Architectural package,Material Substitution,Contractor,2022-09-10,,148000,,13,Withdrawn,Architectural
CO-00539,PRJ-074,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2023-03-14,,88000,,12,Pending,Mechanical
CO-00541,PRJ-074,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2023-04-19,2023-05-30,142600,107400,1,Approved,Fire Protection
CO-00540,PRJ-074,Coordination Issue - Electrical package,Coordination Issue,Contractor,2023-06-30,2023-08-07,112300,97600,2,Approved,Electrical
CO-00545,PRJ-074,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2023-07-25,2023-08-08,341200,348100,9,Approved,Plumbing
CO-00542,PRJ-074,Utility Conflict - Architectural package,Utility Conflict,External,2024-01-25,2024-01-28,498900,453800,8,Approved,Architectural
CO-00544,PRJ-074,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2025-03-17,2025-05-06,1936200,1540100,14,Approved,Structural
CO-00551,PRJ-075,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-01-30,2024-03-29,500400,416600,10,Approved,Mechanical
CO-00553,PRJ-075,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-02-13,2024-05-05,376400,322000,14,Approved,Mechanical
CO-00552,PRJ-075,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2024-04-22,,376200,,10,Pending,Structural
CO-00554,PRJ-075,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2024-09-23,,480400,,0,Pending,Plumbing
CO-00549,PRJ-075,Coordination Issue - Structural package,Coordination Issue,Contractor,2024-11-03,,375100,,5,Rejected,Structural
CO-00546,PRJ-075,Scope Clarification - Structural package,Scope Clarification,Owner,2024-11-29,2025-01-25,315800,230400,0,Approved,Structural
CO-00548,PRJ-075,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2025-06-29,2025-08-13,1789600,1499400,15,Approved,Plumbing
CO-00547,PRJ-075,Code or Regulatory Requirement - Architectural package,Code or Regulatory Requirement,External,2025-08-22,2025-10-15,322800,238600,12,Approved,Architectural
CO-00550,PRJ-075,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-08-26,2025-10-14,853000,830400,17,Approved,Civil
